Season,Team,W,L,WPct,wRC+,FIP-,OPS+,ERA-,Payroll,log_Payroll
2019,OAK,97,65,0.5987654320987654,107,97,108,89,98644531,18.40703335047748
2019,SEA,68,94,0.41975308641975306,99,112,99,113,144388309,18.78801681854147
2019,TBR,96,66,0.5925925925925926,104,84,102,84,64178722,17.97718228070232
2019,TEX,78,84,0.48148148148148145,88,101,88,101,148538766,18.816356532644324
2019,TOR,67,95,0.41358024691358025,92,104,94,105,111371067,18.528378130000412
2019,ARI,85,77,0.5246913580246914,93,102,94,96,119327905,18.5973857658354
2019,ATL,97,65,0.5987654320987654,101,100,98,94,143947963,18.78496242417555
2019,CHC,84,78,0.5185185185185185,100,96,102,93,221580085,19.216294639665357
2019,CIN,75,87,0.46296296296296297,85,92,85,91,128691569,18.672929161485044
2019,COL,71,91,0.4382716049382716,87,113,89,112,157091013,18.87233589598802
2019,MIA,57,105,0.35185185185185186,79,114,77,113,75596271,18.140917514536397
2019,HOU,107,55,0.6604938271604939,124,88,119,81,167138259,18.934331926065937
2019,LAD,106,56,0.654320987654321,110,84,111,80,207000814,19.14823328358906
2019,MIL,89,73,0.5493827160493827,97,100,97,99,136850227,18.734397652200045
2019,WSN,93,69,0.5740740740740741,104,92,104,96,172321791,18.96487416477238
2019,NYM,86,76,0.5308641975308642,105,95,105,104,146835812,18.80482559534717
2019,PHI,81,81,0.5,90,107,92,102,159637244,18.888414574152137
2019,PIT,69,93,0.42592592592592593,92,108,94,120,72176474,18.094624705888734
2019,STL,91,71,0.5617283950617284,95,99,94,91,173762164,18.97319804859178
2019,SDP,70,92,0.43209876543209874,89,96,90,110,103699790,18.45701064812538
2019,SFG,77,85,0.47530864197530864,82,108,83,103,178582126,19.00055914301104
2018,LAA,80,82,0.49382716049382713,98,102,99,98,173717599,18.972941544443973
2018,BAL,47,115,0.29012345679012347,87,113,89,121,130413607,18.686221550172444
2018,BOS,108,54,0.6666666666666666,111,91,112,84,227398860,19.242216126075533
2018,CHW,62,100,0.38271604938271603,92,110,93,115,71839808,18.089949309348857
2018,CLE,91,71,0.5617283950617284,106,90,106,86,142604703,18.775587045765285
2018,DET,64,98,0.3950617283950617,83,106,83,106,130995349,18.690672376718357
2018,KCR,58,104,0.35802469135802467,87,112,90,113,129944821,18.68262046446767
2018,MIN,78,84,0.48148148148148145,96,104,96,104,115538840,18.565117308453942
2018,NYY,100,62,0.6172839506172839,112,84,112,88,180098151,19.009012543574883
2018,OAK,97,65,0.5987654320987654,112,102,110,93,80315288,18.20147054684817
2018,SEA,89,73,0.5493827160493827,100,97,102,100,160993827,18.89687658059877
2018,TBR,90,72,0.5555555555555556,107,94,105,91,68895137,18.04809615294144
2018,TEX,67,95,0.41358024691358025,89,109,89,106,140625018,18.76160745892295
2018,TOR,73,89,0.4506172839506173,100,106,102,113,150946147,18.832433688783073
2018,ARI,82,80,0.5061728395061729,88,98,86,91,141724597,18.769396274635582
2018,ATL,90,72,0.5555555555555556,96,99,98,91,130852350,18.689580146274764
2018,CHC,95,68,0.5828220858895705,100,103,97,91,194259933,19.08470768103981
2018,CIN,67,95,0.41358024691358025,94,112,95,113,100305768,18.42373375875624
2018,COL,91,72,0.558282208588957,88,95,90,94,143968544,18.78510538923337
2018,MIA,63,98,0.391304347826087,83,116,83,125,91660500,18.33360209197255
2018,HOU,103,59,0.6358024691358025,110,78,106,76,163706636,18.913586579088463
2018,LAD,92,71,0.5644171779141104,111,90,109,88,199582045,19.111735962885632
2018,MIL,96,67,0.588957055214724,100,99,99,92,109984946,18.515854059845797
2018,WSN,82,80,0.5061728395061729,101,101,98,99,181382609,19.016119220046086
2018,NYM,77,85,0.47530864197530864,94,99,96,107,150187987,18.827398314069104
2018,PHI,80,82,0.49382716049382713,91,91,89,103,104297471,18.462757672313654
2018,PIT,82,79,0.5093167701863354,95,100,98,101,91025861,18.32665421092089
2018,STL,88,74,0.5432098765432098,99,100,99,99,163534311,18.912533379496487
2018,SDP,66,96,0.4074074074074074,84,102,88,113,102710815,18.447427976073023
2018,SFG,73,89,0.4506172839506173,82,102,85,101,205665348,19.14176088151163
2017,LAA,80,82,0.49382716049382713,92,101,92,98,166161209,18.92846901362506
2017,BAL,75,87,0.46296296296296297,95,108,100,112,175254785,18.98175138735787
2017,BOS,93,69,0.5740740740740741,91,87,92,82,209872508,19.16201079955712
2017,CHW,67,95,0.41358024691358025,95,116,96,112,85495238,18.263971236449482
2017,CLE,102,60,0.6296296296296297,105,75,104,72,132258928,18.700272134930703
2017,DET,64,98,0.3950617283950617,98,106,98,121,188828874,19.056351734304446
2017,KCR,80,82,0.49382716049382713,91,103,93,104,148227822,18.814260986000185
2017,MIN,85,77,0.5246913580246914,103,107,104,104,121048871,18.611704914580354
2017,NYY,91,71,0.5617283950617284,109,86,105,86,209044502,19.158057715492752
2017,OAK,75,87,0.46296296296296297,103,107,104,111,73477080,18.112484078817186
2017,SEA,78,84,0.48148148148148145,103,109,103,106,160797330,18.895655310093673
2017,TBR,80,82,0.49382716049382713,99,98,99,94,77811205,18.16979600191453
2017,TEX,78,84,0.48148148148148145,90,107,91,98,163450840,18.912022830307585
2017,TOR,76,86,0.4691358024691358,93,97,91,101,175617487,18.983818818489564
2017,ARI,93,69,0.5740740740740741,95,87,94,80,102619475,18.446538287503206
2017,ATL,72,90,0.4444444444444444,89,105,92,107,106468575,18.483360429149375
2017,CHC,92,70,0.5679012345679012,101,97,99,91,172092536,18.963542890107615
2017,CIN,68,94,0.41975308641975306,95,115,97,116,96436003,18.384390164960042
2017,COL,87,75,0.5370370370370371,88,94,90,91,139324341,18.752315161460725
2017,MIA,77,85,0.47530864197530864,101,112,107,116,110765599,18.52292680572973
2017,HOU,101,61,0.6234567901234568,121,90,123,97,138344211,18.74525542017033
2017,LAD,104,58,0.6419753086419753,104,86,104,82,259302593,19.37350625045889
2017,MIL,86,76,0.5308641975308642,94,97,94,91,69924718,18.062929764151782
2017,WSN,97,65,0.5987654320987654,99,91,99,88,182238854,19.020828769232487
2017,NYM,70,92,0.43209876543209874,101,108,101,123,143990158,18.785255507982274
2017,PHI,66,96,0.4074074074074074,87,103,89,105,104020808,18.460101514016007
2017,PIT,75,87,0.46296296296296297,85,98,86,99,100503030,18.425698434262657
2017,STL,83,79,0.5123456790123457,101,97,99,96,146256085,18.800869650048305
2017,SDP,71,91,0.4382716049382716,82,109,83,112,76921678,18.158298293319508
2017,SFG,64,98,0.3950617283950617,83,103,81,108,189806809,19.06151731810147
2016,LAA,74,88,0.4567901234567901,99,110,100,105,174290373,18.976233276606884
2016,BAL,89,73,0.5493827160493827,103,98,101,100,154148832,18.85342913523237
2016,BOS,93,69,0.5740740740740741,113,95,112,91,207758836,19.151888522684665
2016,CHW,78,84,0.48148148148148145,97,100,99,99,129715686,18.68085558260617
2016,CLE,94,67,0.5838509316770186,100,91,96,88,105971268,18.47867855873009
2016,DET,86,75,0.5341614906832298,106,97,106,101,200179285,19.114723947963373
2016,KCR,81,81,0.5,89,106,90,99,141587358,18.76842745557721
2016,MIN,59,103,0.36419753086419754,95,106,98,118,97244457,18.39273854140911
2016,NYY,84,78,0.5185185185185185,92,95,91,98,220743376,19.212511390203115
2016,OAK,69,93,0.42592592592592593,89,102,91,110,83109288,18.23566702253306
2016,SEA,86,76,0.5308641975308642,108,103,106,100,147003780,18.80596885869812
2016,TBR,68,94,0.41975308641975306,98,103,100,102,63908549,17.972963697566506
2016,TEX,95,67,0.5864197530864198,95,104,96,97,161021690,18.89704963437164
2016,TOR,89,73,0.5493827160493827,104,95,101,90,148385479,18.81532403350558
2016,ARI,69,93,0.42592592592592593,93,108,93,116,97874482,18.399196419796358
2016,ATL,68,93,0.422360248447205,86,107,89,109,95839382,18.378184244063544
2016,CHC,103,58,0.639751552795031,106,91,104,76,186772494,19.0454018245229
2016,CIN,68,94,0.41975308641975306,89,123,91,116,88626437,18.299940757071575
